1,,,1-16,16,SCHOOL ID (R-C-D-T-S),A15,1,16,,,,,
2,,,17-18,2,"SCHOOL TYPE CODE (0,1,2,C)",A1,17,18,,,,,
3,,,19-19,1,Blank,A0,19,19,,,,,
4,,,20-53,34,SCHOOL NAME,A33,20,53,,,,,
5,,,54-87,34,DISTRICT NAME,A33,54,87,,,,,
6,,,88-105,18,CITY,A17,88,105,,,,,
7,,,106-117,12,COUNTY ,A11,106,117,,,,,
8,,,118-119,2,"DISTRICT TYPE CODE (0,1,2,9)",A1,118,119,,,,,
9,,,120-121,2,"DISTRICT SIZE CODE (1,2,...8,9)",A1,120,121,,,,,
10,,,122-133,12,DISTRICT TYPE NAME,A11,122,133,,,,,
11,,,134-140,7,DISTRICT SIZE NAME,A6,134,140,,,,,
12,,,141-152,12,SCHOOL TYPE NAME,A11,141,152,,,,,
13,,,153-184,32,GRADES IN SCHOOL,A31,153,184,,,,,
STUDENT DEMOGRAPHICS AND CHARACTERISTICS,,,,,,,,,,,,,
14,,,185-190,6,SCHOOL - WHITE %,F5.1,185,190,,,,,
15,,,191-196,6,SCHOOL - BLACK %,F5.1,191,196,,,,,
16,,,197-202,6,SCHOOL - HISPANIC %,F5.1,197,202,,,,,
17,,,203-208,6,SCHOOL - ASIAN %,F5.1,203,208,,,,,
18,,,209-214,6,SCHOOL - NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER %,F5.1,209,214,,,,,
19,,,215-220,6,SCHOOL - NATIVE AMERICAN %,F5.1,215,220,,,,,
20,,,221-226,6,SCHOOL - TWO OR MORE RACES %,F5.1,221,226,,,,,
21,,,227-232,6,SCHOOL TOTAL ENROLLMENT,COMMA5,227,232,,,,,
22,,,233-238,6,SUBREGION - WHITE %,F5.1,233,238,,,,,
23,,,239-244,6,SUBREGION - BLACK %,F5.1,239,244,,,,,
24,,,245-250,6,SUBREGION - HISPANIC %,F5.1,245,250,,,,,
25,,,251-256,6,SUBREGION - ASIAN %,F5.1,251,256,,,,,
26,,,257-262,6,SUBREGION - NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER %,F5.1,257,262,,,,,
27,,,263-268,6,SUBREGION - NATIVE AMERICAN %,F5.1,263,268,,,,,
28,,,269-274,6,SUBREGION - TWO OR MORE RACES %,F5.1,269,274,,,,,
29,,,275-282,8,SUBREGION TOTAL ENROLLMENT,COMMA7,275,282,,,,,
30,,,283-288,6,DISTRICT - WHITE %,F5.1,283,288,,,,,
31,,,289-294,6,DISTRICT - BLACK %,F5.1,289,294,,,,,
32,,,295-300,6,DISTRICT - HISPANIC %,F5.1,295,300,,,,,
33,,,301-306,6,DISTRICT - ASIAN %,F5.1,301,306,,,,,
34,,,307-312,6,DISTRICT - NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER %,F5.1,307,312,,,,,
35,,,313-318,6,DISTRICT - NATIVE AMERICAN %,F5.1,313,318,,,,,
36,,,319-324,6,DISTRICT - TWO OR MORE RACES %,F5.1,319,324,,,,,
37,,,325-332,8,DISTRICT TOTAL ENROLLMENT,COMMA7,325,332,,,,,
38,,,333-338,6,STATE - WHITE %,F5.1,333,338,,,,,
39,,,339-344,6,STATE - BLACK %,F5.1,339,344,,,,,
40,,,345-350,6,STATE - HISPANIC %,F5.1,345,350,,,,,
41,,,351-356,6,STATE - ASIAN %,F5.1,351,356,,,,,
42,,,357-362,6,STATE - NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER %,F5.1,357,362,,,,,
43,,,363-368,6,STATE - NATIVE AMERICAN %,F5.1,363,368,,,,,
44,,,369-374,6,STATE - TWO OR MORE RACES %,F5.1,369,374,,,,,
45,,,375-384,10,STATE TOTAL ENROLLMENT,COMMA9,375,384,,,,,
46,,,385-390,6,L.E.P. SCHOOL %,F5.1,385,390,,,,,
47,,,391-396,6,L.E.P. SUBREGION %,F5.1,391,396,,,,,
48,,,397-402,6,L.E.P. DISTRICT %,F5.1,397,402,,,,,
49,,,403-408,6,L.E.P. STATE %,F5.1,403,408,,,,,
50,,,409-414,6,I.E.P. SCHOOL %,F5.1,409,414,,,,,
51,,,415-420,6,I.E.P. SUBREGION %,F5.1,415,420,,,,,
52,,,421-426,6,I.E.P. DISTRICT %,F5.1,421,426,,,,,
53,,,427-432,6,I.E.P. STATE %,F5.1,427,432,,,,,
54,,,433-438,6,LOW-INCOME SCHOOL %,F5.1,433,438,,,,,
55,,,439-444,6,LOW-INCOME SUBREGION %,F5.1,439,444,,,,,
56,,,445-450,6,LOW-INCOME DISTRICT %,F5.1,445,450,,,,,
57,,,451-456,6,LOW-INCOME STATE %,F5.1,451,456,,,,,
58,,,457-462,6,HOMELESS SCHOOL %,F5.1,457,462,,,,,
59,,,463-468,6,HOMELESS SUBREGION %,F5.1,463,468,,,,,
60,,,469-474,6,HOMELESS DISTRICT %,F5.1,469,474,,,,,
61,,,475-480,6,HOMELESS STATE %,F5.1,475,480,,,,,
62,,,481-484,4,TOTAL SCHOOL DAYS - SCHOOL,F3.0,481,484,,,,,
63,,,485-488,4,TOTAL SCHOOL DAYS - SUBREGION,F3.0,485,488,,,,,
64,,,489-492,4,TOTAL SCHOOL DAYS - DISTRICT,F3.0,489,492,,,,,
65,,,493-496,4,TOTAL SCHOOL DAYS -STATE,F3.0,493,496,,,,,
66,,,497-502,6,PARENTAL INVOLVEMENT SCHOOL %,F5.1,497,502,,,,,
67,,,503-508,6,PARENTAL INVOLVEMENT SUBREGION %,F5.1,503,508,,,,,
68,,,509-514,6,PARENTAL INVOLVEMENT DISTRICT %,F5.1,509,514,,,,,
69,,,515-520,6,PARENTAL INVOLVEMENT STATE %,F5.1,515,520,,,,,
70,,ALL,521-526,6,ATTENDANCE RATE SCHOOL %,F5.1,521,526,,,,,
71,,ALL,527-532,6,ATTENDANCE RATE SUBREGION %,F5.1,527,532,,,,,
72,,ALL,533-538,6,ATTENDANCE RATE DISTRICT %,F5.1,533,538,,,,,
73,,ALL,539-544,6,ATTENDANCE RATE STATE %,F5.1,539,544,,,,,
74,,MALE,545-550,6,ATTENDANCE RATE SCHOOL %,F5.1,545,550,,,,,
75,,MALE,551-556,6,ATTENDANCE RATE SUBREGION %,F5.1,551,556,,,,,
76,,MALE,557-562,6,ATTENDANCE RATE DISTRICT %,F5.1,557,562,,,,,
77,,MALE,563-568,6,ATTENDANCE RATE STATE %,F5.1,563,568,,,,,
78,,FEMALE,569-574,6,ATTENDANCE RATE SCHOOL %,F5.1,569,574,,,,,
79,,FEMALE,575-580,6,ATTENDANCE RATE SUBREGION %,F5.1,575,580,,,,,
80,,FEMALE,581-586,6,ATTENDANCE RATE DISTRICT %,F5.1,581,586,,,,,
81,,FEMALE,587-592,6,ATTENDANCE RATE STATE %,F5.1,587,592,,,,,
82,,WHITE,593-598,6,ATTENDANCE RATE SCHOOL %,F5.1,593,598,,,,,
83,,WHITE,599-604,6,ATTENDANCE RATE SUBREGION %,F5.1,599,604,,,,,
84,,WHITE,605-610,6,ATTENDANCE RATE DISTRICT %,F5.1,605,610,,,,,
85,,WHITE,611-616,6,ATTENDANCE RATE STATE %,F5.1,611,616,,,,,
86,,BLACK,617-622,6,ATTENDANCE RATE SCHOOL %,F5.1,617,622,,,,,
87,,BLACK,623-628,6,ATTENDANCE RATE SUBREGION %,F5.1,623,628,,,,,
